Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Sales,Profit
ORD-1001,2025-01-01,East,Office Supplies,Stapler,8,918.05,7344.4,653.69
ORD-1002,2025-01-01,East,Office Supplies,Printer Paper,8,533.88,4271.04,366.1
ORD-1003,2025-01-02,South,Furniture,Office Chair,2,18327.97,36655.94,10433.68
ORD-1004,2025-01-03,North,Clothing,Sneakers,5,3819.64,19098.2,3875.28
ORD-1005,2025-01-03,West,Clothing,T-Shirt,1,3291.22,3291.22,493.57
ORD-1006,2025-01-04,North,Clothing,Sneakers,3,2480.03,7440.09,2200.84
ORD-1007,2025-01-05,South,Office Supplies,Notebook,3,1036.45,3109.35,505.66
ORD-1008,2025-01-06,South,Clothing,T-Shirt,2,2496.87,4993.74,269.62
ORD-1009,2025-01-06,East,Clothing,Sneakers,7,3776.98,26438.86,6829.12
ORD-1010,2025-01-07,South,Furniture,Office Chair,4,5373.67,21494.68,5133.8
ORD-1011,2025-01-08,South,Furniture,Desk,10,14624.81,146248.1,8457.28
ORD-1012,2025-01-09,East,Furniture,Table,2,10483.61,20967.22,5905.73
ORD-1013,2025-01-09,South,Clothing,Jacket,8,3551.53,28412.24,5120.13
ORD-1014,2025-01-10,North,Clothing,T-Shirt,2,3376.25,6752.5,1328.13
ORD-1015,2025-01-11,North,Clothing,Sneakers,9,1988.76,17898.84,1634.46
ORD-1016,2025-01-11,East,Office Supplies,Notebook,8,622.58,4980.64,614.47
ORD-1017,2025-01-12,East,Office Supplies,Printer Paper,1,1081.45,1081.45,267.71
ORD-1018,2025-01-13,North,Electronics,Headphones,7,39343.76,275406.32,76766.74
ORD-1019,2025-01-14,South,Clothing,Sneakers,2,843.84,1687.68,240.84
ORD-1020,2025-01-14,East,Clothing,T-Shirt,3,3670.4,11011.2,1306.81
ORD-1021,2025-01-15,North,Electronics,Monitor,5,58325.36,291626.8,76472.85
ORD-1022,2025-01-16,South,Furniture,Bookshelf,7,1970.41,13792.87,3140.16
ORD-1023,2025-01-17,West,Furniture,Table,3,1754.3,5262.9,1100.49
ORD-1024,2025-01-17,North,Electronics,Keyboard,4,54527.94,218111.76,24498.98
ORD-1025,2025-01-18,East,Office Supplies,Printer Paper,4,1417.14,5668.56,1132.1
ORD-1026,2025-01-19,North,Furniture,Table,2,15984.5,31969.0,3961.23
ORD-1027,2025-01-19,South,Furniture,Table,4,22421.42,89685.68,16577.1
ORD-1028,2025-01-20,North,Office Supplies,Stapler,9,511.11,4599.99,356.56
ORD-1029,2025-01-21,East,Office Supplies,Pen Set,9,1236.12,11125.08,2950.18
ORD-1030,2025-01-22,South,Furniture,Table,9,12635.92,113723.28,25372.69
ORD-1031,2025-01-22,West,Clothing,Sneakers,6,1546.96,9281.76,1759.13
ORD-1032,2025-01-23,East,Electronics,Headphones,1,15831.79,15831.79,1768.71
ORD-1033,2025-01-24,East,Furniture,Bookshelf,1,4554.09,4554.09,1363.65
ORD-1034,2025-01-25,West,Electronics,Headphones,2,25133.39,50266.78,2928.68
ORD-1035,2025-01-25,South,Electronics,Laptop,3,41097.76,123293.28,22529.83
ORD-1036,2025-01-26,East,Clothing,Jeans,7,4131.17,28918.19,6952.07
ORD-1037,2025-01-27,South,Electronics,Monitor,6,22572.76,135436.56,28181.16
ORD-1038,2025-01-27,West,Furniture,Bookshelf,1,4617.22,4617.22,817.48
ORD-1039,2025-01-28,South,Electronics,Monitor,4,20096.77,80387.08,8445.49
ORD-1040,2025-01-29,North,Office Supplies,Printer Paper,3,555.57,1666.71,123.41
ORD-1041,2025-01-30,West,Electronics,Keyboard,7,56254.42,393780.94,33227.33
